No,Category,Hook,Message Copy
15,Pure ROI & Zero Risk,30-Day Revenue Guarantee.,"Hi {{First Name}} team. Try Nocturn AI for 30 days. If we don’t recover direct WhatsApp revenue that exceeds our basic fee, the next month is free. Reply ""Risk Free"" to claim a pilot spot."
16,Operational Efficiency,Drowning in WhatsApp messages?,"Hi {{First Name}}. Your front desk is too busy for 30+ repetitive WhatsApp questions a day. Nocturn AI handles the FAQs and closes the bookings so your team can focus on guests. Reply ""Help"" to see a demo."
17,Operational Efficiency,Built for Malaysian Hospitality.,"Hello {{First Name}}. Generic chatbots suck. We built an AI that understands SST, Tourism Tax, and speaks local dialects. Perfect for your {{Variable2}} rooms. Reply ""Local"" to see it chat."
18,Operational Efficiency,VIP handoffs.,"Hey {{First Name}}. Our AI handles routine bookings but instantly flags VIPs or complex requests to your staff with full context. No dropped leads in {{Variable1}}. Reply ""Show me"" to see the dashboard."
19,Operational Efficiency,The 30-second standard.,"Hi {{First Name}}. Guests expect replies in seconds, not hours. Nocturn AI ensures every WhatsApp inquiry gets a 30-second response. Reply ""Speed"" to see how we capture {{Variable3}} in lost revenue."
20,Operational Efficiency,Unify your inbox.,"Hey {{First Name}} team. WhatsApp, Web chat, Emails—our AI catches inquiries from all of them and puts them in one daily GM report. Reply ""Unify"" to see a sample report."
21,VMY2026 & Market Urgency,VMY2026 is coming to {{Variable1}}.,"Hi {{First Name}}. Tourism is about to spike. If you aren't capturing direct WhatsApp bookings automatically, OTAs will eat your profits. Reply ""VMY2026"" to get your AI ready."
22,VMY2026 & Market Urgency,Beat the {{Variable1}} competition.,"Hello {{First Name}}. While other hotels take 4 hours to reply to a WhatsApp, you could be closing guests in 30 seconds with Nocturn AI. Reply ""Win"" to see the estimated {{Variable3}} impact."
23,VMY2026 & Market Urgency,Capacity is filling up.,"Hey {{First Name}}. We are onboarding our founding cohort of Malaysian hotels to pilot Nocturn AI. We only have a few spots left for properties with around {{Variable2}} rooms. Reply ""Apply"" to grab a spot."
24,VMY2026 & Market Urgency,Don't pay the tourist tax to Agoda.,"Hi {{First Name}}. With the upcoming influx of tourists, every direct booking counts. Let our AI handle the volume on WhatsApp. Reply ""Tourists"" to see how we automate it."
25,VMY2026 & Market Urgency,Future-proof your reservations.,"Hey {{First Name}} team. Staff turnover happens, but AI stays. Build a permanent revenue engine for your {{Variable2}} rooms before the 2026 rush. Reply ""Future"" to learn more."
26,Short & Curiosity-Driven,Quick question about your WhatsApp...,"Hi {{First Name}} team, Basyir here. Do you guys currently have an automated way to capture bookings on WhatsApp after 6 PM, or are they going to OTAs? Reply ""No"" or ""Tell me more""."
27,Short & Curiosity-Driven,Found a revenue leak for {{First Name}}.,"Hey {{First Name}} management. I was looking at hotels in {{Variable1}} and noticed a massive opportunity to recover about {{Variable3}} from missed WhatsApp leads. Reply ""How?"" and I'll explain."
28,Short & Curiosity-Driven,Are you the GM of {{First Name}}?,"Hi! If you manage {{First Name}}, I built a WhatsApp AI specifically for Malaysian hotels with {{Variable2}} rooms to stop paying 18% to Agoda. Reply ""I am"" to see a 1-min video."
29,Short & Curiosity-Driven,RM999 to fix your direct bookings.,"Hey {{First Name}} team. For a one-time RM999 setup, we can turn your WhatsApp into a 24/7 booking engine. Reply ""Nak tengok"" if you want the details."
30,Short & Curiosity-Driven,Can I send you a morning report?,"Hi {{First Name}}. Our AI sends GMs a 9 AM report showing exactly how much direct revenue was recovered overnight via WhatsApp. Want to see an example? Reply ""Report""."
